Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,28-08-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B29A0849,004,,265074,495009,2059,02-09-2015,02-09-2015,26-10-2015,2124,65,,
B29A0849,004,,265074,495009,2059,26-10-2015,26-10-2015,28-08-2019,2124,65,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B29A0849,004,18-07-2016,162,97,1962,,,,,,
B29A0849,004,19-07-2016,164,99,1960,,,,,,
B29A0849,004,20-07-2016,164,99,1960,,,,,,
B29A0849,004,21-07-2016,166,101,1958,,,,,,
B29A0849,004,22-07-2016,166,101,1958,,,,,,
B29A0849,004,23-07-2016,166,101,1958,,,,,,
B29A0849,004,24-07-2016,167,102,1957,,,,,,
B29A0849,004,25-07-2016,168,103,1956,,,,,,
B29A0849,004,26-07-2016,169,104,1955,,,,,,
B29A0849,004,27-07-2016,170,105,1954,,,,,,
B29A0849,004,28-07-2016,171,106,1953,,,,,,
B29A0849,004,29-07-2016,171,106,1953,,,,,,
B29A0849,004,30-07-2016,172,107,1952,,,,,,
B29A0849,004,31-07-2016,172,107,1952,,,,,,
B29A0849,004,01-08-2016,172,107,1952,,,,,,
B29A0849,004,02-08-2016,173,108,1951,,,,,,
B29A0849,004,03-08-2016,172,107,1952,,,,,,
B29A0849,004,04-08-2016,172,107,1952,,,,,,
B29A0849,004,05-08-2016,174,109,1950,,,,,,
B29A0849,004,06-08-2016,175,110,1949,,,,,,
B29A0849,004,07-08-2016,175,110,1949,,,,,,
B29A0849,004,08-08-2016,176,111,1948,,,,,,
B29A0849,004,09-08-2016,176,111,1948,,,,,,
B29A0849,004,10-08-2016,176,111,1948,,,,,,
B29A0849,004,11-08-2016,177,112,1947,,,,,,
B29A0849,004,12-08-2016,175,110,1949,,,,,,
B29A0849,004,13-08-2016,175,110,1949,,,,,,
B29A0849,004,14-08-2016,176,111,1948,,,,,,
B29A0849,004,15-08-2016,177,112,1947,,,,,,
B29A0849,004,16-08-2016,178,113,1946,,,,,,
B29A0849,004,17-08-2016,178,113,1946,,,,,,
B29A0849,004,18-08-2016,179,114,1945,,,,,,
B29A0849,004,19-08-2016,180,115,1944,,,,,,
B29A0849,004,20-08-2016,181,116,1943,,,,,,
B29A0849,004,21-08-2016,181,116,1943,,,,,,
B29A0849,004,22-08-2016,181,116,1943,,,,,,
B29A0849,004,23-08-2016,182,117,1942,,,,,,
B29A0849,004,24-08-2016,182,117,1942,,,,,,
B29A0849,004,25-08-2016,183,118,1941,,,,,,
B29A0849,004,26-08-2016,184,119,1940,,,,,,
B29A0849,004,27-08-2016,185,120,1939,,,,,,
B29A0849,004,28-08-2016,185,120,1939,,,,,,
B29A0849,004,29-08-2016,186,121,1938,,,,,,
B29A0849,004,30-08-2016,188,123,1936,,,,,,
B29A0849,004,31-08-2016,188,123,1936,,,,,,
B29A0849,004,01-09-2016,188,123,1936,,,,,,
B29A0849,004,02-09-2016,188,123,1936,,,,,,
B29A0849,004,03-09-2016,188,123,1936,,,,,,
B29A0849,004,04-09-2016,187,122,1937,,,,,,
B29A0849,004,05-09-2016,189,124,1935,,,,,,
B29A0849,004,06-09-2016,190,125,1934,,,,,,
B29A0849,004,07-09-2016,190,125,1934,,,,,,
B29A0849,004,08-09-2016,190,125,1934,,,,,,
B29A0849,004,09-09-2016,191,126,1933,,,,,,
B29A0849,004,10-09-2016,192,127,1932,,,,,,
B29A0849,004,11-09-2016,193,128,1931,,,,,,
B29A0849,004,12-09-2016,194,129,1930,,,,,,
B29A0849,004,13-09-2016,194,129,1930,,,,,,
B29A0849,004,14-09-2016,195,130,1929,,,,,,
B29A0849,004,15-09-2016,195,130,1929,,,,,,
B29A0849,004,16-09-2016,196,131,1928,,,,,,
B29A0849,004,17-09-2016,196,131,1928,,,,,,
B29A0849,004,18-09-2016,196,131,1928,,,,,,
B29A0849,004,19-09-2016,197,132,1927,,,,,,
B29A0849,004,20-09-2016,197,132,1927,,,,,,
B29A0849,004,21-09-2016,197,132,1927,,,,,,
B29A0849,004,22-09-2016,198,133,1926,,,,,,
B29A0849,004,23-09-2016,199,134,1925,,,,,,
B29A0849,004,24-09-2016,199,134,1925,,,,,,
B29A0849,004,25-09-2016,200,135,1924,,,,,,
B29A0849,004,26-09-2016,200,135,1924,,,,,,
B29A0849,004,27-09-2016,201,136,1923,,,,,,
B29A0849,004,28-09-2016,201,136,1923,,,,,,
B29A0849,004,29-09-2016,201,136,1923,,,,,,
B29A0849,004,30-09-2016,200,135,1924,,,,,,
B29A0849,004,01-10-2016,200,135,1924,,,,,,
B29A0849,004,02-10-2016,200,135,1924,,,,,,
B29A0849,004,03-10-2016,202,137,1922,,,,,,
B29A0849,004,04-10-2016,202,137,1922,,,,,,
B29A0849,004,05-10-2016,202,137,1922,,,,,,
B29A0849,004,06-10-2016,202,137,1922,,,,,,
B29A0849,004,07-10-2016,202,137,1922,,,,,,
B29A0849,004,08-10-2016,203,138,1921,,,,,,
B29A0849,004,09-10-2016,203,138,1921,,,,,,
B29A0849,004,10-10-2016,203,138,1921,,,,,,
B29A0849,004,11-10-2016,203,138,1921,,,,,,
B29A0849,004,12-10-2016,203,138,1921,,,,,,
B29A0849,004,13-10-2016,203,138,1921,,,,,,
B29A0849,004,14-10-2016,204,139,1920,,,,,,
B29A0849,004,15-10-2016,204,139,1920,,,,,,
B29A0849,004,16-10-2016,205,140,1919,,,,,,
B29A0849,004,17-10-2016,206,141,1918,,,,,,
B29A0849,004,18-10-2016,206,141,1918,,,,,,
B29A0849,004,19-10-2016,203,138,1921,,,,,,
B29A0849,004,20-10-2016,200,135,1924,,,,,,
B29A0849,004,21-10-2016,199,134,1925,,,,,,
B29A0849,004,22-10-2016,196,131,1928,,,,,,
B29A0849,004,23-10-2016,195,130,1929,,,,,,
B29A0849,004,24-10-2016,195,130,1929,,,,,,
B29A0849,004,25-10-2016,196,131,1928,,,,,,
B29A0849,004,26-10-2016,196,131,1928,,,,,,
B29A0849,004,27-10-2016,197,132,1927,,,,,,
B29A0849,004,28-10-2016,197,132,1927,,,,,,
B29A0849,004,29-10-2016,198,133,1926,,,,,,
B29A0849,004,30-10-2016,198,133,1926,,,,,,
B29A0849,004,31-10-2016,198,133,1926,,,,,,
B29A0849,004,01-11-2016,198,133,1926,,,,,,
B29A0849,004,02-11-2016,198,133,1926,,,,,,
B29A0849,004,03-11-2016,199,134,1925,,,,,,
B29A0849,004,04-11-2016,199,134,1925,,,,,,
B29A0849,004,05-11-2016,198,133,1926,,,,,,
B29A0849,004,06-11-2016,199,134,1925,,,,,,
B29A0849,004,07-11-2016,199,134,1925,,,,,,
B29A0849,004,08-11-2016,196,131,1928,,,,,,
B29A0849,004,09-11-2016,195,130,1929,,,,,,
B29A0849,004,10-11-2016,194,129,1930,,,,,,
B29A0849,004,11-11-2016,195,130,1929,,,,,,
B29A0849,004,12-11-2016,195,130,1929,,,,,,
B29A0849,004,13-11-2016,195,130,1929,,,,,,
B29A0849,004,14-11-2016,196,131,1928,,,,,,
B29A0849,004,15-11-2016,194,129,1930,,,,,,
B29A0849,004,16-11-2016,192,127,1932,,,,,,
B29A0849,004,17-11-2016,190,125,1934,,,,,,
B29A0849,004,18-11-2016,184,119,1940,,,,,,
B29A0849,004,19-11-2016,182,117,1942,,,,,,
B29A0849,004,20-11-2016,180,115,1944,,,,,,
B29A0849,004,21-11-2016,179,114,1945,,,,,,
B29A0849,004,22-11-2016,178,113,1946,,,,,,
B29A0849,004,23-11-2016,178,113,1946,,,,,,
B29A0849,004,24-11-2016,178,113,1946,,,,,,
B29A0849,004,25-11-2016,178,113,1946,,,,,,
B29A0849,004,26-11-2016,177,112,1947,,,,,,
B29A0849,004,27-11-2016,178,113,1946,,,,,,
B29A0849,004,28-11-2016,178,113,1946,,,,,,
B29A0849,004,29-11-2016,179,114,1945,,,,,,
B29A0849,004,30-11-2016,178,113,1946,,,,,,
B29A0849,004,01-12-2016,178,113,1946,,,,,,
B29A0849,004,02-12-2016,178,113,1946,,,,,,
B29A0849,004,03-12-2016,179,114,1945,,,,,,
B29A0849,004,04-12-2016,179,114,1945,,,,,,
B29A0849,004,05-12-2016,180,115,1944,,,,,,
B29A0849,004,06-12-2016,180,115,1944,,,,,,
B29A0849,004,07-12-2016,181,116,1943,,,,,,
B29A0849,004,08-12-2016,180,115,1944,,,,,,
B29A0849,004,09-12-2016,180,115,1944,,,,,,
B29A0849,004,10-12-2016,180,115,1944,,,,,,
B29A0849,004,11-12-2016,176,111,1948,,,,,,
B29A0849,004,12-12-2016,175,110,1949,,,,,,
B29A0849,004,13-12-2016,175,110,1949,,,,,,
B29A0849,004,14-12-2016,174,109,1950,,,,,,
B29A0849,004,15-12-2016,174,109,1950,,,,,,
B29A0849,004,16-12-2016,174,109,1950,,,,,,
B29A0849,004,17-12-2016,175,110,1949,,,,,,
B29A0849,004,18-12-2016,175,110,1949,,,,,,
B29A0849,004,19-12-2016,175,110,1949,,,,,,
B29A0849,004,20-12-2016,175,110,1949,,,,,,
