Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,002,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1980,125,1563,1513


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,002,28-05-2016,122,-3,1858,,,,,,
B28H1883,002,29-05-2016,124,-1,1856,,,,,,
B28H1883,002,30-05-2016,124,-1,1856,,,,,,
B28H1883,002,31-05-2016,118,-7,1862,,,,,,
B28H1883,002,01-06-2016,119,-6,1861,,,,,,
B28H1883,002,02-06-2016,125,0,1855,,,,,,
B28H1883,002,03-06-2016,122,-3,1858,,,,,,
B28H1883,002,04-06-2016,128,3,1852,,,,,,
B28H1883,002,05-06-2016,135,10,1845,,,,,,
B28H1883,002,06-06-2016,138,13,1842,,,,,,
B28H1883,002,07-06-2016,143,18,1837,,,,,,
B28H1883,002,08-06-2016,148,23,1832,,,,,,
B28H1883,002,09-06-2016,146,21,1834,,,,,,
B28H1883,002,10-06-2016,153,28,1827,,,,,,
B28H1883,002,11-06-2016,154,29,1826,,,,,,
B28H1883,002,12-06-2016,153,28,1827,,,,,,
B28H1883,002,13-06-2016,128,3,1852,,,,,,
B28H1883,002,14-06-2016,131,6,1849,,,,,,
B28H1883,002,15-06-2016,124,-1,1856,,,,,,
B28H1883,002,16-06-2016,124,-1,1856,,,,,,
B28H1883,002,17-06-2016,126,1,1854,,,,,,
B28H1883,002,18-06-2016,118,-7,1862,,,,,,
B28H1883,002,19-06-2016,120,-5,1860,,,,,,
B28H1883,002,20-06-2016,123,-2,1857,,,,,,
B28H1883,002,21-06-2016,118,-7,1862,,,,,,
B28H1883,002,22-06-2016,120,-5,1860,,,,,,
B28H1883,002,23-06-2016,126,1,1854,,,,,,
